date, pm25, o3, no2, co
2016/3/22, 30, , , 
2016/3/23, 34, , , 
2016/3/24, 56, , , 
2016/3/25, 50, , , 
2016/3/26, 56, , , 
2016/3/27, 26, , , 
2016/3/28, 25, , , 
2016/3/29, 23, , , 
2016/3/30, 25, , , 
2016/3/31, 35, , , 
2016/4/1, 54, , , 
2015/10/2, 15, , , 
2015/10/3, 9, , , 
2015/10/4, 7, , , 
2015/10/5, 16, , , 
2015/10/6, 36, , , 
2015/10/7, 45, , , 
2015/10/8, 35, , , 
2015/10/9, 42, , , 
2015/10/10, 43, , , 
2015/10/11, 21, , , 
2015/10/12, 32, , , 
2015/10/13, 49, , , 
2015/10/14, 41, , , 
2015/10/15, 28, , , 
2015/10/16, 29, , , 
2015/10/17, 35, , , 
2015/10/18, 26, , , 
2015/10/19, 23, , , 
2015/10/20, 30, , , 
2015/10/21, 43, , , 
2015/10/22, 65, , , 
2015/10/23, 63, , , 
2015/10/24, 30, , , 
2015/10/25, 25, , , 
2015/10/26, 26, , , 
2015/10/27, 50, , , 
2015/10/28, 33, , , 
2015/10/29, 18, , , 
2015/10/30, 44, , , 
2015/10/31, 37, , , 
2015/11/1, 32, , , 
2015/11/2, 47, , , 
2015/11/3, 53, , , 
2015/11/4, 70, , , 
2015/11/5, 71, , , 
2015/11/6, 68, , , 
2015/11/7, 51, , , 
2015/11/8, 34, , , 
2015/11/9, 32, , , 
2015/11/10, 54, , , 
2015/11/11, 31, , , 
2015/11/12, 25, , , 
2015/11/13, 27, , , 
2015/11/14, 26, , , 
2015/11/15, 35, , , 
2015/11/16, 37, , , 
2015/11/17, 55, , , 
2015/11/18, 39, , , 
2015/11/19, 30, , , 
2015/11/20, 29, , , 
2015/11/21, 35, , , 
2015/11/22, 34, , , 
2015/11/23, 33, , , 
2015/11/24, 42, , , 
2015/11/25, 53, , , 
2015/11/26, 60, , , 
2015/11/27, 60, , , 
2015/11/28, 46, , , 
2015/11/29, 43, , , 
2015/11/30, 31, , , 
2015/12/1, 46, , , 
2015/12/2, 35, , , 
2015/12/3, 63, , , 
2015/12/4, 41, , , 
2015/12/5, 46, , , 
2015/12/6, 55, , , 
2015/12/7, 68, , , 
2015/12/8, 72, , , 
2015/12/9, 57, , , 
2015/12/10, 67, , , 
2015/12/11, 69, , , 
2015/12/12, 74, , , 
2015/12/13, 84, , , 
2015/12/14, 76, , , 
2015/12/15, 46, , , 
2015/12/16, 27, , , 
2015/12/17, 30, , , 
2015/12/18, 43, , , 
2015/12/19, 40, , , 
2015/12/20, 39, , , 
2015/12/21, 42, , , 
2015/12/22, 46, , , 
2015/12/23, 55, , , 
2015/12/24, 56, , , 
2015/12/25, 53, , , 
2015/12/26, 70, , , 
2015/12/27, 30, , , 
2015/12/28, 43, , , 
2015/12/29, 31, , , 
2015/12/30, 38, , , 
2015/12/31, 51, , , 
2016/1/1, 45, , , 
2016/1/3, 63, , , 
2016/1/4, 73, , , 
2015/7/2, 61, , , 
2015/7/3, 54, , , 
2015/7/4, 36, , , 
2015/7/5, 48, , , 
2015/7/6, 62, , , 
2015/7/7, 51, , , 
2015/7/8, 63, , , 
2015/7/9, 84, , , 
2015/7/10, 57, , , 
2015/7/11, 37, , , 
2015/7/12, 55, , , 
2015/7/13, 57, , , 
2015/7/14, 62, , , 
2015/7/15, 48, , , 
2015/7/16, 45, , , 
2015/7/17, 26, , , 
2015/7/18, 30, , , 
2015/7/19, 43, , , 
2015/7/20, 64, , , 
2015/7/21, 63, , , 
