date, pm25, pm10, no2, co
2018/1/31, 97, 51, 35, 
2018/2/1, 114, 34, 28, 
2018/2/2, 65, 30, , 
2018/2/3, 76, 24, , 
2018/2/4, 74, 30, 41, 
2018/2/5, 80, 24, 34, 
2018/2/6, 70, 26, , 
2018/2/7, 68, 25, , 
2018/2/8, 70, 42, 30, 
2018/2/9, 76, 33, 36, 
2018/2/10, 74, 38, 31, 
2018/2/11, 91, 52, 30, 
2018/2/12, 97, 48, 31, 
2018/2/13, 114, 20, 38, 
2018/2/14, 55, 34, 39, 
2018/2/15, 76, 51, 35, 
2018/2/16, 109, 67, 45, 
2018/2/17, 156, 71, 34, 
2018/2/18, 124, 50, 30, 
2018/2/19, 122, 24, 29, 
2018/2/20, 63, 48, 36, 
2018/2/21, 104, 46, 36, 
2018/2/22, 104, 34, 34, 
2018/2/23, 85, 28, 33, 
2018/2/24, 78, 30, 32, 
2018/2/25, 91, 24, 32, 
2018/2/26, 57, 27, 41, 
2018/3/2, 151, 60, 42, 
2018/3/3, 157, 45, 41, 
2018/3/4, 117, 40, 36, 
2018/3/5, 102, 53, 41, 
2018/3/6, 132, 50, 38, 
2018/3/7, 129, 46, 36, 
2018/3/8, 114, , 42, 
2018/3/11, 30, 21, 27, 
2018/3/12, 61, 25, 29, 
2018/3/13, 63, 37, 43, 
2018/3/14, 89, 31, 45, 
2018/3/15, 65, 28, 37, 
2018/3/16, 65, 15, 35, 
2018/3/17, 38, 20, 31, 
2018/3/18, 57, 9, 32, 
2018/3/19, 34, 13, 30, 
2018/3/20, 59, 28, 34, 
2018/3/21, 72, 26, 37, 
2018/3/22, 72, 33, 38, 
2018/3/23, 78, 45, 41, 
2018/3/24, 99, 35, 33, 
2018/3/25, 80, 25, 29, 
2018/3/26, 70, 49, 45, 
2018/3/27, 116, 46, 41, 
2018/3/28, 107, 43, 36, 
2018/3/29, 89, 54, 33, 
2018/3/30, 124, 37, 23, 
2018/3/31, 89, 19, 24, 
2018/4/1, 53, 14, 30, 
2017/7/2, 17, 10, 25, 
2017/7/3, 13, 14, 33, 
2017/7/4, 17, 17, 28, 
2017/7/5, 25, 23, 30, 
2017/7/6, 38, 20, 35, 
2017/7/7, 30, 20, 27, 
2017/7/8, 34, 22, 28, 
2017/7/9, 38, 23, 24, 
2017/7/10, 34, 27, 27, 
2017/7/11, 46, 23, 26, 
2017/7/12, 34, 26, 31, 
2017/7/13, 42, 28, 36, 
2017/7/14, 50, 15, 27, 
2017/7/15, 21, 14, 25, 
2017/7/16, 17, 12, 17, 
2017/7/17, 17, 12, 30, 
2017/7/18, 21, 19, 40, 
2017/7/19, 25, 20, 40, 
2017/7/20, 30, 22, 33, 
2017/7/21, 30, 25, 39, 
2017/7/22, 50, 17, 17, 
2017/7/23, 30, 17, 14, 
2017/7/24, 34, 19, 25, 
2017/7/25, 30, 11, 37, 
2017/7/26, 17, 11, 28, 
2017/7/27, 9, 15, 36, 
2017/7/28, 21, 23, 23, 
2017/7/29, 34, 30, 22, 
2017/7/30, 25, 11, 16, 
2017/7/31, 21, 20, 32, 
2017/8/1, 30, 26, 42, 
2017/8/2, 13, , 36, 
2017/8/4, 74, 35, 30, 
2017/8/5, 65, 37, 29, 
2017/8/6, 74, 25, 28, 
2017/8/7, 63, 9, 21, 
2017/8/8, 17, 19, 20, 
2017/8/9, 50, 20, 22, 
2017/8/10, 55, 22, 26, 
2017/8/11, 55, 10, 20, 
2017/8/12, 25, 3, 20, 
2017/8/13, 9, 10, 26, 
2017/8/14, 25, 13, 21, 
2017/8/15, 30, 14, 18, 
2017/8/16, 30, 19, 23, 
2017/8/17, 46, 20, 21, 
